Data taken from the website: http://massey.dur.ac.uk/drf/HD_H/H-HD.rate_coefficients
   10
      0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
      0.000     0.000     0.000     0.000     0.000     1.000     0.000     1.000     1.000   128.400
      0.000     0.000     0.000     0.000     0.000     2.000     0.000     2.000     2.000   384.200
      0.000     0.000     0.000     0.000     0.000     3.000     0.000     3.000     3.000   765.900
      0.000     0.000     0.000     0.000     0.000     4.000     0.000     4.000     4.000  1270.700
      0.000     0.000     0.000     0.000     0.000     5.000     0.000     5.000     5.000  1895.300
      0.000     0.000     0.000     0.000     0.000     6.000     0.000     6.000     6.000  2635.800
      0.000     0.000     0.000     0.000     0.000     7.000     0.000     7.000     7.000  3487.500
      0.000     0.000     0.000     0.000     0.000     8.000     0.000     8.000     8.000  4445.100
      0.000     0.000     0.000     0.000     0.000     9.000     0.000     9.000     9.000  5503.300



 1.0D-22 2.2D-22 1.7D-21 2.3D-20 3.6D-19 2.0D-17 2.5D-15 6.7D-13 1.3D-09 1.1D-11
 3.8D-25 1.3D-24 7.3D-24 8.3D-23 1.5D-21 5.3D-20 4.5D-18 7.8D-16 3.5D-13 1.3D-09



T = 320. K
 ( 0, 0) ( 0, 1) ( 0, 2) ( 0, 3) ( 0, 4) ( 0, 5) ( 0, 6) ( 0, 7) ( 0, 8) ( 0, 9)
 1.3D-09 3.8D-11 2.2D-12 1.5D-13 1.7D-14 2.2D-15 2.3D-16 7.9D-17 1.9D-17 2.2D-18
 7.7D-11 1.3D-09 4.7D-11 2.8D-12 1.7D-13 1.7D-14 2.8D-15 3.9D-16 8.2D-17 1.5D-17
 3.3D-12 3.5D-11 1.3D-09 4.5D-11 2.7D-12 1.5D-13 1.4D-14 3.2D-15 4.2D-16 5.8D-17
 9.4D-14 8.8D-13 1.9D-11 1.3D-09 3.9D-11 2.3D-12 1.2D-13 1.2D-14 2.3D-15 2.5D-16
 2.8D-15 1.5D-14 3.1D-13 1.0D-11 1.3D-09 3.2D-11 1.7D-12 9.4D-14 8.9D-15 1.1D-15
 6.6D-17 2.5D-16 3.0D-15 1.0D-13 5.6D-12 1.3D-09 2.5D-11 1.3D-12 7.3D-14 6.1D-15
 7.9D-19 4.9D-18 3.2D-17 6.3D-16 3.5D-14 3.0D-12 1.4D-09 2.0D-11 8.9D-13 5.0D-14
 2.2D-20 5.5D-20 5.8D-19 5.0D-18 1.5D-16 1.2D-14 1.6D-12 1.4D-09 1.6D-11 5.7D-13
 3.0D-22 6.5D-22 4.4D-21 5.7D-20 8.3D-19 3.9D-17 4.1D-15 9.0D-13 1.4D-09 1.2D-11
 1.4D-24 4.8D-24 2.5D-23 2.6D-22 4.3D-21 1.3D-19 9.4D-18 1.3D-15 4.7D-13 1.4D-09



T = 340. K
 ( 0, 0) ( 0, 1) ( 0, 2) ( 0, 3) ( 0, 4) ( 0, 5) ( 0, 6) ( 0, 7) ( 0, 8) ( 0, 9)
 1.3D-09 4.0D-11 2.4D-12 1.6D-13 1.8D-14 2.5D-15 2.7D-16 9.3D-17 2.2D-17 2.6D-18
 8.3D-11 1.3D-09 4.9D-11 3.0D-12 1.9D-13 1.9D-14 3.3D-15 4.5D-16 9.7D-17 1.8D-17
 3.8D-12 3.9D-11 1.3D-09 4.8D-11 3.0D-12 1.7D-13 1.6D-14 3.6D-15 4.8D-16 6.8D-17
 1.2D-13 1.1D-12 2.2D-11 1.4D-09 4.2D-11 2.5D-12 1.3D-13 1.3D-14 2.7D-15 2.9D-16
 3.9D-15 2.0D-14 3.9D-13 1.2D-11 1.4D-09 3.5D-11 1.9D-12 1.1D-13 1.0D-14 1.3D-15
 1.0D-16 3.9D-16 4.4D-15 1.4D-13 6.7D-12 1.4D-09 2.7D-11 1.4D-12 8.4D-14 7.1D-15
 1.5D-18 8.8D-18 5.6D-17 1.0D-15 4.9D-14 3.7D-12 1.4D-09 2.2D-11 1.0D-12 5.7D-14
 4.9D-20 1.2D-19 1.2D-18 9.6D-18 2.6D-16 1.8D-14 2.1D-12 1.4D-09 1.7D-11 6.4D-13
 8.0D-22 1.7D-21 1.1D-20 1.3D-19 1.7D-18 7.1D-17 6.4D-15 1.2D-12 1.4D-09 1.3D-11
 4.7D-24 1.5D-23 7.5D-23 7.1D-22 1.1D-20 3.0D-19 1.8D-17 2.2D-15 6.3D-13 1.4D-09



T = 360. K
 ( 0, 0) ( 0, 1) ( 0, 2) ( 0, 3) ( 0, 4) ( 0, 5) ( 0, 6) ( 0, 7) ( 0, 8) ( 0, 9)
 1.4D-09 4.2D-11 2.6D-12 1.8D-13 2.0D-14 2.7D-15 3.2D-16 1.1D-16 2.6D-17 3.1D-18
 8.8D-11 1.4D-09 5.2D-11 3.3D-12 2.1D-13 2.2D-14 3.7D-15 5.2D-16 1.1D-16 2.0D-17
 4.4D-12 4.2D-11 1.4D-09 5.0D-11 3.2D-12 1.9D-13 1.9D-14 4.1D-15 5.5D-16 7.9D-17
 1.5D-13 1.3D-12 2.4D-11 1.4D-09 4.4D-11 2.7D-12 1.5D-13 1.6D-14 3.0D-15 3.4D-16
 5.2D-15 2.6D-14 4.9D-13 1.4D-11 1.4D-09 3.7D-11 2.1D-12 1.2D-13 1.2D-14 1.5D-15
 1.6D-16 5.9D-16 6.3D-15 1.8D-13 8.0D-12 1.4D-09 2.9D-11 1.6D-12 9.5D-14 8.2D-15
 2.7D-18 1.5D-17 9.3D-17 1.6D-15 6.8D-14 4.4D-12 1.4D-09 2.4D-11 1.1D-12 6.5D-14
 1.0D-19 2.3D-19 2.2D-18 1.7D-17 4.3D-16 2.5D-14 2.5D-12 1.5D-09 1.9D-11 7.1D-13
 1.9D-21 4.0D-21 2.4D-20 2.7D-19 3.4D-18 1.2D-16 9.5D-15 1.5D-12 1.4D-09 1.4D-11
 1.4D-23 4.2D-23 2.0D-22 1.8D-21 2.5D-20 6.3D-19 3.3D-17 3.3D-15 8.1D-13 1.4D-09



T = 380. K
 ( 0, 0) ( 0, 1) ( 0, 2) ( 0, 3) ( 0, 4) ( 0, 5) ( 0, 6) ( 0, 7) ( 0, 8) ( 0, 9)
 1.4D-09 4.4D-11 2.8D-12 1.9D-13 2.1D-14 3.0D-15 3.7D-16 1.2D-16 2.9D-17 3.7D-18
 9.4D-11 1.4D-09 5.4D-11 3.5D-12 2.3D-13 2.4D-14 4.2D-15 5.9D-16 1.3D-16 2.3D-17
 5.1D-12 4.6D-11 1.4D-09 5.3D-11 3.5D-12 2.1D-13 2.1D-14 4.6D-15 6.3D-16 9.1D-17
 1.8D-13 1.5D-12 2.7D-11 1.4D-09 4.7D-11 2.9D-12 1.7D-13 1.8D-14 3.5D-15 3.9D-16
 6.8D-15 3.4D-14 6.0D-13 1.6D-11 1.4D-09 3.9D-11 2.3D-12 1.4D-13 1.4D-14 1.8D-15
